timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668438212161,1498,home,200,,Thread Group 1-1,text,true,,59394,8116,1,1,https://petstore.octoperf.com/actions/Catalog.action,894,0,798
1668438212161,900,home-0,200,,Thread Group 1-1,text,true,,5419,460,1,1,https://petstore.octoperf.com/actions/Catalog.action,894,0,798
1668438213144,75,home-1,200,,Thread Group 1-1,text,true,,5966,508,1,1,https://petstore.octoperf.com/css/jpetstore.css,74,0,0
1668438213145,276,home-2,200,,Thread Group 1-1,bin,true,,4095,513,1,1,https://petstore.octoperf.com/images/logo-topbar.gif,276,0,173
1668438213148,269,home-3,200,,Thread Group 1-1,bin,true,,379,506,1,1,https://petstore.octoperf.com/images/cart.gif,269,0,190
1668438213147,273,home-4,200,,Thread Group 1-1,bin,true,,329,511,1,1,https://petstore.octoperf.com/images/separator.gif,273,0,201
1668438213150,267,home-5,200,,Thread Group 1-1,bin,true,,556,509,1,1,https://petstore.octoperf.com/images/sm_fish.gif,267,0,187
1668438213149,289,home-6,200,,Thread Group 1-1,bin,true,,591,509,1,1,https://petstore.octoperf.com/images/sm_dogs.gif,288,0,215
1668438213422,73,home-7,200,,Thread Group 1-1,bin,true,,683,513,1,1,https://petstore.octoperf.com/images/sm_reptiles.gif,73,0,0
1668438213422,74,home-8,200,,Thread Group 1-1,bin,true,,574,509,1,1,https://petstore.octoperf.com/images/sm_cats.gif,73,0,0
1668438213422,77,home-9,200,,Thread Group 1-1,bin,true,,536,510,1,1,https://petstore.octoperf.com/images/sm_birds.gif,77,0,0
1668438213423,78,home-10,200,,Thread Group 1-1,bin,true,,724,511,1,1,https://petstore.octoperf.com/images/fish_icon.gif,78,0,0
1668438213439,77,home-11,200,,Thread Group 1-1,bin,true,,753,511,1,1,https://petstore.octoperf.com/images/dogs_icon.gif,77,0,0
1668438213496,85,home-12,200,,Thread Group 1-1,bin,true,,693,511,1,1,https://petstore.octoperf.com/images/cats_icon.gif,84,0,0
1668438213497,83,home-13,200,,Thread Group 1-1,bin,true,,954,515,1,1,https://petstore.octoperf.com/images/reptiles_icon.gif,83,0,0
1668438213499,81,home-14,200,,Thread Group 1-1,bin,true,,756,512,1,1,https://petstore.octoperf.com/images/birds_icon.gif,81,0,0
1668438213505,154,home-15,200,,Thread Group 1-1,bin,true,,36386,508,1,1,https://petstore.octoperf.com/images/splash.gif,75,0,0
1668438215627,248,preLogin,200,,Thread Group 1-1,text,true,,5386,5975,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,78,0,0
1668438215627,78,preLogin-0,200,,Thread Group 1-1,text,true,,3847,532,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,78,0,0
1668438215725,78,preLogin-1,304,,Thread Group 1-1,,true,,172,604,1,1,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438215725,79,preLogin-2,304,,Thread Group 1-1,,true,,172,609,1,1,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438215725,70,preLogin-3,304,,Thread Group 1-1,,true,,170,600,1,1,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438215726,77,preLogin-4,304,,Thread Group 1-1,,true,,170,605,1,1,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438215726,78,preLogin-5,304,,Thread Group 1-1,,true,,171,604,1,1,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438215727,76,preLogin-6,304,,Thread Group 1-1,,true,,171,604,1,1,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438215796,73,preLogin-7,304,,Thread Group 1-1,,true,,171,608,1,1,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,0
1668438215804,71,preLogin-8,304,,Thread Group 1-1,,true,,171,604,1,1,https://petstore.octoperf.com/images/sm_cats.gif,0,0,0
1668438215804,71,preLogin-9,304,,Thread Group 1-1,,true,,171,605,1,1,https://petstore.octoperf.com/images/sm_birds.gif,0,0,0
1668438215979,866,home,200,,Thread Group 1-2,text,true,,59394,8116,2,2,https://petstore.octoperf.com/actions/Catalog.action,247,0,169
1668438215979,248,home-0,200,,Thread Group 1-2,text,true,,5419,460,2,2,https://petstore.octoperf.com/actions/Catalog.action,247,0,169
1668438216246,79,home-1,200,,Thread Group 1-2,text,true,,5966,508,2,2,https://petstore.octoperf.com/css/jpetstore.css,79,0,0
1668438216246,230,home-2,200,,Thread Group 1-2,bin,true,,4095,513,2,2,https://petstore.octoperf.com/images/logo-topbar.gif,230,0,160
1668438216246,234,home-3,200,,Thread Group 1-2,bin,true,,379,506,2,2,https://petstore.octoperf.com/images/cart.gif,234,0,164
1668438216246,219,home-4,200,,Thread Group 1-2,bin,true,,329,511,2,2,https://petstore.octoperf.com/images/separator.gif,219,0,151
1668438216246,227,home-5,200,,Thread Group 1-2,bin,true,,556,509,2,2,https://petstore.octoperf.com/images/sm_fish.gif,227,0,158
1668438216247,222,home-6,200,,Thread Group 1-2,bin,true,,591,509,2,2,https://petstore.octoperf.com/images/sm_dogs.gif,222,0,151
1668438216331,224,home-7,200,,Thread Group 1-2,bin,true,,683,513,2,2,https://petstore.octoperf.com/images/sm_reptiles.gif,224,0,154
1668438216465,226,home-8,200,,Thread Group 1-2,bin,true,,574,509,2,2,https://petstore.octoperf.com/images/sm_cats.gif,226,0,150
1668438216469,226,home-9,200,,Thread Group 1-2,bin,true,,536,510,2,2,https://petstore.octoperf.com/images/sm_birds.gif,226,0,146
1668438216474,226,home-10,200,,Thread Group 1-2,bin,true,,724,511,2,2,https://petstore.octoperf.com/images/fish_icon.gif,226,0,151
1668438216476,223,home-11,200,,Thread Group 1-2,bin,true,,753,511,2,2,https://petstore.octoperf.com/images/dogs_icon.gif,223,0,147
1668438216481,219,home-12,200,,Thread Group 1-2,bin,true,,693,511,2,2,https://petstore.octoperf.com/images/cats_icon.gif,219,0,148
1668438216556,71,home-13,200,,Thread Group 1-2,bin,true,,954,515,2,2,https://petstore.octoperf.com/images/reptiles_icon.gif,71,0,0
1668438216627,74,home-14,200,,Thread Group 1-2,bin,true,,756,512,2,2,https://petstore.octoperf.com/images/birds_icon.gif,74,0,0
1668438216692,153,home-15,200,,Thread Group 1-2,bin,true,,36386,508,2,2,https://petstore.octoperf.com/images/splash.gif,79,0,0
1668438217141,242,preLogin,200,,Thread Group 1-2,text,true,,5390,5975,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,74,0,0
1668438217141,74,preLogin-0,200,,Thread Group 1-2,text,true,,3851,532,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,74,0,0
1668438217229,78,preLogin-1,304,,Thread Group 1-2,,true,,172,604,2,2,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438217229,77,preLogin-2,304,,Thread Group 1-2,,true,,172,609,2,2,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438217232,76,preLogin-3,304,,Thread Group 1-2,,true,,170,600,2,2,https://petstore.octoperf.com/images/cart.gif,0,0,0
